year,race,count
2006,Asian/Pacific Islander,416
2006,Black,7722
2006,Hispanic,3255
2006,Native American/Native Alaskan,251
2006,White,17302
2007,Asian/Pacific Islander,395
2007,Black,7468
2007,Hispanic,3262
2007,Native American/Native Alaskan,220
2007,White,17560
2008,Asian/Pacific Islander,351
2008,Black,7131
2008,Hispanic,3068
2008,Native American/Native Alaskan,242
2008,White,18349
2009,Asian/Pacific Islander,380
2009,Black,6809
2009,Hispanic,3012
2009,Native American/Native Alaskan,259
2009,White,18785
2010,Asian/Pacific Islander,363
2010,Black,7183
2010,Hispanic,2873
2010,Native American/Native Alaskan,281
2010,White,20031
2011,Asian/Pacific Islander,397
2011,Black,7252
2011,Hispanic,2797
2011,Native American/Native Alaskan,264
2011,White,20733
2012,Asian/Pacific Islander,431
2012,Black,7734
2012,Hispanic,2914
2012,Native American/Native Alaskan,293
2012,White,21243
2013,Asian/Pacific Islander,426
2013,Black,7506
2013,Hispanic,2813
2013,Native American/Native Alaskan,287
2013,White,21698
2014,Asian/Pacific Islander,404
2014,Black,7435
2014,Hispanic,2876
2014,Native American/Native Alaskan,298
2014,White,21657
2015,Asian/Pacific Islander,486
2015,Black,8692
2015,Hispanic,3203
2015,Native American/Native Alaskan,341
2015,White,22404
2016,Asian/Pacific Islander,570
2016,Black,9774
2016,Hispanic,3632
2016,Native American/Native Alaskan,370
2016,White,23364
2017,Asian/Pacific Islander,571
2017,Black,9910
2017,Hispanic,3727
2017,Native American/Native Alaskan,376
2017,White,24183
2018,Asian/Pacific Islander,594
2018,Black,9606
2018,Hispanic,3843
2018,Native American/Native Alaskan,412
2018,White,24278
2019,Asian/Pacific Islander,611
2019,Black,10205
2019,Hispanic,3874
2019,Native American/Native Alaskan,363
2019,White,23627
2020,Asian/Pacific Islander,606
2020,Black,13886
2020,Hispanic,4804
2020,Native American/Native Alaskan,499
2020,White,24302
